source_row	name	source_category	source_subcategory	tool_url	publication_url	year	flags	manuscript_title
126	Mol2CCS	Ion Mobility MS		https://github.com/enveda/ccs-prediction	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00899-w	2024	ion_mobility_platform_dimension	Evaluating the generalizability of graph neural networks for predicting collision cross section
127	MS2Prop	Annotation	Class | Property prediction	NA	https://www.biorxiv.org/content/10.1101/2022.10.09.511482v1	2022	missing_tool_url	MS2Prop: A machine learning model that directly predicts chemical properties from mass spectrometry data for novel compounds
129	SLAW	Multifunctional		https://github.com/adelabriere/SLAW	https://pubs.acs.org/doi/10.1021/acs.analchem.1c02687	2021	broad_source_bucket_manual_review	SLAW: A Scalable and Self-Optimizing Processing Workflow for Untargeted LC-MS
130	rawrr R	Formats		https://github.com/fgcz/rawrr	https://pubs.acs.org/doi/10.1021/acs.jproteome.0c00866	2021	scope_review_adjacent_field	The rawrr R Package: Direct Access to Orbitrap Data and Beyond
133	eMZed 3	Multifunctional		https://emzed.ethz.ch	https://arxiv.org/abs/2510.21484	2025	broad_source_bucket_manual_review	eMZed 3: flexible and interactive development of scalable LC-MS/MS data analysis workflows in Python
139	MetaProViz	Multifunctional		https://saezlab.github.io/MetaProViz/	https://www.biorxiv.org/content/10.1101/2025.08.18.670781v1.	2025	broad_source_bucket_manual_review	Integrated metabolomics data analysis to generate mechanistic hypotheses with MetaProViz
158	ChromaQuant	Drug Discovery		https://hplcfdu.shinyapps.io/ChromaQuant/	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c02702	2025	broad_source_bucket_manual_review;scope_review_adjacent_field	A Chromatography-Guided Co-Fractionation Mass Spectrometry Strategy for Rapid Profiling of Drug-Perturbed Protein Complexes
160	CCS Predictor 2.0	Ion Mobility MS		https://github.com/facundof2016/CCSP2.0	https://pubs.acs.org/doi/10.1021/acs.analchem.2c03491	2022	ion_mobility_platform_dimension;mixed_nmr_mentions	CCS Predictor 2.0: An Open-Source Jupyter Notebook Tool for Filtering Out False Positives in Metabolomics
163	Multipass CCS Refiner	Specialized		https://github.com/facundof2016/Multipass-CCS-Refiner; https://ericgier.shinyapps.io/Multipass-CCS-Refiner/	https://pubs.acs.org/doi/10.1021/jasms.5c00199	2025	broad_source_bucket_manual_review	Multipass CCS Refiner: A Web Application for Accurate Collision Cross Section Calibration in Cyclic Ion Mobility-Mass Spectrometry
165	MAW	Holistic/ Standalone Tools		https://github.com/zmahnoor14/MAW	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00695-y	2023	broad_source_bucket_manual_review	MAW: the reproducible Metabolome Annotation Workflow for untargeted tandem mass spectrometry
166	Maldi Transformer	Specialized		https://github.com/gdewael/maldi-nn	https://linkinghub.elsevier.com/retrieve/pii/S0010482525000459	2025	broad_source_bucket_manual_review	Pre-trained Maldi Transformers improve MALDI-TOF MS-based prediction
169	Umatrix	Specialized		https://cran.r-project.org/package=Umatrix	https://academic.oup.com/bib/article/26/1/bbae640/7919969	2024	broad_source_bucket_manual_review	Augmenting small biomedical datasets using generative AI methods based on self-organizing neural networks
175	GNPS2	Holistic/ Standalone Tools		https://gnps2.org	https://www.nature.com/articles/s41596-025-01237-6	2025	broad_source_bucket_manual_review	A versatile toolkit for drug metabolism studies with GNPS2: from drug development to clinical monitoring
176	MetaboLM	Specialized		https://github.com/Qiu-Shizheng/MetaboLM	https://www.nature.com/articles/s41467-025-66163-3	2025	broad_source_bucket_manual_review	MetaboLM: a metabolomic language model for multi-disease early prediction and risk stratification
181	BitterMasS	Specialized		https://github.com/Niv-Lab/BitterPredict1	https://pubs.acs.org/doi/10.1021/acs.jafc.3c09767	2024	broad_source_bucket_manual_review	BitterMasS: Predicting Bitterness from Mass Spectra
192	MetMiner, MDAtoolkits	Multifunctional		https://github.com/ShawnWx2019/MetMiner	https://onlinelibrary.wiley.com/doi/full/10.1111/jipb.13774	2024	broad_source_bucket_manual_review	MetMiner: A user-friendly pipeline for large-scale plant metabolomics data analysis
199	Graphormer-IR	IR		https://github.com/HopkinsLaboratory/Graphormer-IR	https://pubs.acs.org/doi/10.1021/acs.jcim.4c00378	2024	ir_scope_or_platform	Graphormer-IR: Graph Transformers Predict Experimental IR Spectra Using Highly Specialized Attention
201	MariClus	Biosynthetic Gene Clusters		https://www.mariclus.com	https://www.mdpi.com/1660-3397/21/8/449	2023	consider_genome_metabolome_linking_capability	MariClus: Your One-Stop Platform for Information on Marine Natural Products, Their Gene Clusters and Producing Organisms
212	M2S	Specialized		https://github.com/rjdossan/M2S	https://pubs.acs.org/doi/10.1021/acs.analchem.1c03592	2022	broad_source_bucket_manual_review	Finding Correspondence between Metabolomic Features in Untargeted Liquid Chromatography–Mass Spectrometry Metabolomics Datasets
218	MSOne	Multifunctional		https://msone.claritybiosystems.com	https://chemrxiv.org/engage/chemrxiv/article-details/68fc99c25dd091524f7de8f9	2025	broad_source_bucket_manual_review	MSOne: An AI-powered software suite enabling end-to-end analysis of high-resolution LCMS data for metabolomics data mining
222	Metabokiller	Patterns		https://pypi.org/project/Metabokiller/	https://doi.org/10.1038/s41589-022-01110-7	2022	broad_source_bucket_manual_review	Artificial intelligence uncovers carcinogenic human metabolites
224	FORUM	Specialized		https://github.com/eMetaboHUB/Forum-DiseasesChem	https://academic.oup.com/bioinformatics/article/37/21/3896/6363786	2021	broad_source_bucket_manual_review	FORUM: building a Knowledge Graph from public databases and scientific literature to extract associations between chemicals and diseases Open Access
227	Easy-Amanida	Specialized		https://github.com/mariallr/easy-amanida	https://onlinelibrary.wiley.com/doi/10.1002/jrsm.1713	2024	broad_source_bucket_manual_review	Easy-Amanida: An R Shiny application for the meta-analysis of aggregate results in clinical metabolomics using Amanida and Webchem
232	SpectraLLM	Specialized		NA	https://arxiv.org/abs/2508.08441	2025	broad_source_bucket_manual_review;missing_tool_url	Language Models Can Understand Spectra: A Multimodal Model for Molecular Structure Elucidation
235	MSident	Specialized	Others	https://github.com/cplqam/GUI	https://www.sciencedirect.com/science/article/pii/S0169743924000030	2024	broad_source_bucket_manual_review	MSident: Straightforward identification of chemical compounds from MS-resolved spectra
236	SPIFFED	Specialized		https://github.com/bio-it-station/SPIFFED	https://academic.oup.com/bib/advance-article-abstract/doi/10.1093/bib/bbad229/7199559	2023	broad_source_bucket_manual_review;scope_review_adjacent_field	A feature extraction free approach for protein interactome inference from co-elution data Free
238	POMAShiny	Multifunctional		https://github.com/nutrimetabolomics/POMAShiny	https://journals.plos.org/ploscompbiol/article?id=10.1371%2Fjournal.pcbi.1009148	2021	broad_source_bucket_manual_review	POMAShiny: A user-friendly web-based workflow for metabolomics and proteomics data analysis
240	cluster-CV	Statistical		NA	https://www.sciencedirect.com/science/article/pii/S0003267024008638	2024	missing_tool_url	Improving insights from metabolomic functional analysis combining multivariate tools
243	pyAIR	Exposomics		NA	https://www.mdpi.com/1420-3049/27/7/2063	2022	missing_tool_url	pyAIR: an open‑source tool for breathomics data analysis
249	MeRgeION	Holistic/ Standalone Tools		https://github.com/daniellyz/meRgeION2	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.2c04343	2023	broad_source_bucket_manual_review	MeRgeION: a Multifunctional R Pipeline for Small Molecule LC-MS/MS Data Processing, Searching, and Organizing
251	HCMMD	Specialized		NA	https://www.aging-us.com/full/205779	2024	broad_source_bucket_manual_review;missing_tool_url	HCMMD: systematic evaluation of metabolites in body fluids as liquid biopsy biomarker for human cancers
254	OpenTIMS, TimsPy, and TimsR	Ion Mobility MS		www.github.com/michalsta/opentims, www.github.com/MatteoLacki/timspy, www.github.com/MatteoLacki/timsr	https://pubs.acs.org/doi/10.1021/acs.jproteome.0c00962	2021	ion_mobility_platform_dimension	OpenTIMS, TimsPy, and TimsR: Open and Easy Access to timsTOF Raw Data
255	mzBucket	Patterns		https://github.com/hildebrandtlab/mzBucket	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-022-04833-5	2022	broad_source_bucket_manual_review;scope_review_adjacent_field	Locality-sensitive hashing enables efficient and scalable signal classification in high-throughput mass spectrometry raw data
256	BioPKS Pipeline, RetroTide	Specialized		https://github.com/JBEI/BioPKS-Pipeline, https://github.com/JBEI/RetroTide	https://www.biorxiv.org/content/10.1101/2024.11.04.621673v2	2025	broad_source_bucket_manual_review	Merging the computational design of chimeric type I polyketide synthases with enzymatic pathways for chemical biosynthesis
257	ChemSpectra	Specialized		https://github.com/ComPlat/chem-spectra-app	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-020-00481-0	2021	mixed_nmr_mentions;broad_source_bucket_manual_review	ChemSpectra: a web-based spectra editor for analytical data
262	NPFimg	Specialized		http://github.com/poomcj/NPFimg	https://pubs.acs.org/doi/10.1021/acs.analchem.1c03163?ref=	2021	broad_source_bucket_manual_review	Image Processing and Machine Learning for Automated Identification of Chemo-/Biomarkers in Chromatography–Mass Spectrometry
264	Punc’data	Multifunctional		https://github.com/WTVoe/puncdata	https://pubs.acs.org/doi/10.1021/jasms.5c00151	2025	broad_source_bucket_manual_review	Punc’data: A Versatile Tool for Molecular Formula Assignment, Interactive Visualization, and Comparison of Data from High-Resolution Mass Spectrometry of Complex Mixtures
267	ChemEcho	Specialized		https://github.com/biorack/chemecho	https://pubs.acs.org/doi/10.1021/acs.analchem.5c02591	2025	broad_source_bucket_manual_review	Increasing the Scale of the Mass Spectrometry Query Language Compendium with Explainable AI
269	MiMIR	Organism specific		https://github.com/DanieleBizzarri/MiMIR	https://academic.oup.com/bioinformatics/article/38/15/3847/6607582	2022	mixed_nmr_mentions	MiMIR: R-shiny application to infer risk factors and endpoints from Nightingale Health’s 1H-NMR metabolomics data
270	compareMS2 2.0	Annotation	Spectral similarity retrieval	https://github.com/524D/compareMS2	https://pubs.acs.org/doi/10.1021/acs.jproteome.2c00457	2022	scope_review_adjacent_field	compareMS2 2.0: An Improved Software for Comparing Tandem Mass Spectrometry Datasets
271	MiMeDB	Database		https://mimedb.org/	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkac868/6754917	2023	mixed_nmr_mentions	MiMeDB: the Human Microbial Metabolome Database
279	MetDIT	Specialized		https://github.com/Li-OmicsLab/MetDIT	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04607	2024	broad_source_bucket_manual_review	MetDIT: Transforming and Analyzing Clinical Metabolomics Data with Convolutional Neural Networks
281	Metabox 2.0	Holistic/ Standalone Tools		http://metsysbio.com/metabox, https://github.com/kwanjeeraw/metabox2	https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giae005/7629842	2024	broad_source_bucket_manual_review	Data processing solutions to render metabolomics more quantitative: case studies in food and clinical metabolomics using Metabox 2.0
287	Chemprop-IR	IR		https://github.com/gfm-collab/chemprop-IR	https://pubs.acs.org/doi/10.1021/acs.jcim.1c00055	2021	ir_scope_or_platform	Predicting Infrared Spectra with Message Passing Neural Networks
303	mGWAS-Explorer 2.0	Specialized		https://www.mgwas.ca/	https://www.mdpi.com/2218-1989/13/7/826	2023	broad_source_bucket_manual_review	mGWAS-Explorer 2.0: Causal Analysis and Interpretation of Metabolite–Phenotype Associations
309	PeakForest	Metadata		https://github.com/peakforest/peakforest-webapp	https://link.springer.com/article/10.1007/s11306-022-01899-3	2022	mixed_nmr_mentions	PeakForest: a multi-platform digital infrastructure for interoperable metabolite spectral data and metadata management
310	iMAP	Multifunctional		https://imap.metaboprofile.cloud/, https://github.com/IP4M/R-scripts-for-iMAP	https://www.frontiersin.org/articles/10.3389/fchem.2021.659656	2021	broad_source_bucket_manual_review	iMAP: A Web Server for Metabolomics Data Integrative Analysis
312	POMICS	Ion Mobility MS		https://www.pomics.org/	https://pubs.acs.org/doi/10.1021/jasms.1c00315	2022	ion_mobility_platform_dimension	In silico Collision Cross Section (CCS) Calculations to Aid Metabolomic Annotation
313	Snakemake CCS	Ion Mobility MS		https://github.com/DasSusanta/snakemake_ccs	https://pubs.acs.org/doi/full/10.1021/acs.jcim.3c00890	2023	ion_mobility_platform_dimension	Rapid and Automated Ab Initio Metabolite Collisional Cross Section Prediction from SMILES Input
316	Graph-Based Multi-scale Learning (GMS)	Annotation	Spectrum prediction	NA	https://link.springer.com/chapter/10.1007/978-981-95-0030-7_2	2025	missing_tool_url	Graph-Based Multi-scale Learning for Predicting Mass Spectra from Molecules
319	TidyMass2	Multifunctional		https://github.com/tidymass/tidymass	https://www.biorxiv.org/content/10.1101/2025.05.09.652992v1	2025	broad_source_bucket_manual_review	TidyMass2: Advancing LC-MS Untargeted Metabolomics Through Metabolite Origin Inference and Metabolic Feature-based Functional Module Analysis
330	One Small Step / MIST + MolForge pipeline	Annotation	De Novo Generation	NA	https://arxiv.org/abs/2508.04180	2025	missing_tool_url	One Small Step with Fingerprints, One Giant Leap for De Novo Molecule Generation from Mass Spectra
335	DWSA-PSO	Ion Mobility MS		NA	https://pubs.rsc.org/en/content/articlelanding/2023/an/d3an01042b	2023	ion_mobility_platform_dimension;missing_tool_url	An improved algorithm for resolving overlapping peaks in ion mobility spectrometry and its application to the separation of glycan isomers
336	MACS	Imaging MS		NA	https://pubs.acs.org/doi/10.1021/jasms.3c00178	2023	missing_tool_url	Metabolite Annotation Confidence Score (MACS): A Novel MSI Identification Scoring Tool
338	MINE 2.0	Specialized		https://minedatabase.ci.northwestern.edu, https://github.com/tyo-nu/MINE-Server	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btac331/6589885	2022	broad_source_bucket_manual_review	MINE 2.0: enhanced biochemical coverage for peak identification in untargeted metabolomics
339	Pickaxe	Specialized		https://github.com/tyo-nu/MINE-Database	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-023-05149-8	2023	broad_source_bucket_manual_review	Pickaxe: a Python library for the prediction of novel metabolic reactions
340	UmetaFlow	Multifunctional		https://github.com/biosustain/snakemake_UmetaFlow	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-023-00724-w	2023	broad_source_bucket_manual_review	UmetaFlow: an untargeted metabolomics workflow for high-throughput data processing and analysis
341	antiSMASH 8.0	Biosynthetic Gene Clusters		https://antismash.secondarymetabolites.org/	https://academic.oup.com/nar/article/53/W1/W32/8119805	2025	consider_genome_metabolome_linking_capability	antiSMASH 8.0: extended gene cluster detection capabilities and analyses of chemistry, enzymology, and regulation
342	AMDB	Database		https://amdb.online/	https://www.mdpi.com/2218-1989/13/10/1088	2023	mixed_nmr_mentions	Animal Metabolite Database: Metabolite Concentrations in Animal Tissues and Convenient Comparison of Quantitative Metabolomic Data
345	AutoCCS	Ion Mobility MS		https://github.com/PNNL-Comp-Mass-Spec/AutoCCS	https://academic.oup.com/bioinformatics/article/37/22/4193/6305793#312931102	2021	ion_mobility_platform_dimension	AutoCCS: automated collision cross-section calculation software for ion mobility spectrometry–mass spectrometry
347	DEIMoS	Multifunctional		https://github.com/pnnl/deimos	https://pubs.acs.org/doi/10.1021/acs.analchem.1c05017	2022	broad_source_bucket_manual_review	DEIMoS: an open-source tool for processing high-dimensional mass spectrometry data
355	PMart	Multifunctional		https://github.com/pmartR/PMart_ShinyApp	https://pubs.acs.org/doi/10.1021/acs.jproteome.3c00512	2024	mixed_nmr_mentions;broad_source_bucket_manual_review	PMart Web Application: Marketplace for Interactive Analysis of Panomics Data
361	ECDFormer	Specialized		https://github.com/HowardLi1984/ECDFormer	https://www.nature.com/articles/s43588-024-00757-7#Abs1	2025	broad_source_bucket_manual_review	Decoupled peak property learning for efficient and interpretable electronic circular dichroism spectrum prediction
363	MetEx	Holistic/ Standalone Tools		https://mo.princeton.edu/MetEx/	https://pubs.acs.org/doi/10.1021/acschembio.1c00737	2021	broad_source_bucket_manual_review	MetEx, a Metabolomics Explorer Application for Natural Product Discovery
365	DeepMet	Specialized		https://github.com/skinniderlab/clm, https://deepmet.org/	https://www.biorxiv.org/content/10.1101/2024.11.13.623458v1	2024	broad_source_bucket_manual_review	Language model-guided anticipation and discovery of unknown metabolites
377	Peak2Patch	Annotation	Others	NA	https://chemrxiv.org/engage/chemrxiv/article-details/680a771c927d1c2e669d466b	2025	missing_tool_url	Peak2Patch: High-Fidelity Functional Group Identification Through Attention-based Fusion of Infrared and Mass Spectra
380	XCMS-METLIN	Multifunctional		https://xcmsonline.scripps.edu/	https://www.embopress.org/doi/full/10.1038/s44320-024-00063-4	2024	broad_source_bucket_manual_review	XCMS-METLIN: data-driven metabolite, lipid, and chemical analysis
381	MoMS-Net	Annotation	Spectrum prediction	NA	https://www.nature.com/articles/s41598-024-51760-x	2024	missing_tool_url	Mass spectra prediction with structural motif-based graph neural networks
390	MyxoDB	Organism specific		https://figshare.com/collections/Constructing_a_Myxobacterial_Natural_Product_Database_to_Facilitate_NMR-Based_Metabolomics_Bioprospecting_of_Myxobacteria/6468946	https://pubs.acs.org/doi/10.1021/acs.analchem.2c05145	2023	mixed_nmr_mentions	Constructing a Myxobacterial Natural Product Database to Facilitate NMR-Based Metabolomics Bioprospecting of Myxobacteria
394	MolSpectLLM	Specialized		https://github.com/Eurekashen/MolSpectLLM	https://arxiv.org/abs/2509.21861	2025	mixed_nmr_mentions;broad_source_bucket_manual_review	MolSpectLLM: A Molecular Foundation Model Bridging Spectroscopy, Molecule Elucidation, and 3D Structure Generation
396	MoleTrans	FT-ICR MS		https://github.com/JibaoLiu/MoleTrans	https://pubs.acs.org/doi/abs/10.1021/acs.estlett.5c00284	2025	ft_icr_platform_dimension	MoleTrans: Browser-Based Webtool for Postanalysis on Molecular Chemodiversity and Transformation of Dissolved Organic Matters via FT-ICR MS
397	DMetFinder	Drug Discovery		https://github.com/KeWHs/dmetdata	https://www.sciencedirect.com/science/article/pii/S0039914025014092#sec5	2025	broad_source_bucket_manual_review	DMetFinder: A novel mass spectrometry analysis tool for comprehensive drug metabolite detection
398	SynFrag	Drug Discovery		https://github.com/simmzx/SynFrag, https://synfrag.simm.ac.cn/	https://chemrxiv.org/engage/chemrxiv/article-details/68e867fddfd0d042d1c5032e	2025	broad_source_bucket_manual_review	SynFrag: Synthetic Accessibility Predictor based on Fragment Assembly Generation in Drug Discovery
399	TraceMetrix	Multifunctional		https://www.biosino.org/tracemetrix/	https://jcheminf.biomedcentral.com/articles/10.1186/s13321-025-01095-0	2025	broad_source_bucket_manual_review	TraceMetrix: a traceable metabolomics interactive analysis platform
400	AllCCS2	Ion Mobility MS		http://allccs.zhulab.cn/	https://pubs.acs.org/doi/10.1021/acs.analchem.3c02267	2023	ion_mobility_platform_dimension	AllCCS2: Curation of Ion Mobility Collision Cross-Section Atlas for Small Molecules Using Comprehensive Molecular Representations
404	MetDNA3	Multifunctional		https://github.com/ZhuMetLab/MrnAnnoAlgo3, http://metdna.zhulab.cn/	https://www.nature.com/articles/s41467-025-63536-6	2025	broad_source_bucket_manual_review	Knowledge and data-driven two-layer networking for accurate metabolite annotation in untargeted metabolomics
405	SCMeTA	Single cell metabolomics		https://github.com/ChenLab/SCMeTA	https://academic.oup.com/bioinformatics/article/40/9/btae545/7750353	2024	consider_single_cell_analysis_type	SCMeTA: A modular Python library for single‑cell metabolomics data processing
413	NP Analyst	Specialized		https://www.npanalyst.org/, https://github.com/liningtonlab/npanalyst	https://pubs.acs.org/doi/10.1021/acscentsci.1c01108	2022	broad_source_bucket_manual_review	NP Analyst: An Open Online Platform for Compound Activity Mapping
427	PlantMetSuite	Holistic/ Standalone Tools		https://github.com/YaonanLab/PlantMetSuite	https://www.mdpi.com/2223-7747/12/15/2880	2023	broad_source_bucket_manual_review	PlantMetSuite: A User-Friendly Web-Based Tool for Metabolomics Analysis and Visualisation
437	CCWeights	Specialized		https://github.com/YonghuiDong/CCWeights	https://academic.oup.com/bioinformaticsadvances/article/1/1/vbab029/6413624	2021	broad_source_bucket_manual_review	CCWeights: an R package and web application for automated evaluation and selection of weighting factors for accurate quantification using linear calibration curve
447	MCnebula	Patterns		https://mcnebula.org/	https://pubs.acs.org/doi/10.1021/acs.analchem.3c01072	2023	broad_source_bucket_manual_review	MCnebula: Critical Chemical Classes for the Classification and Boost Identification by Visualization for Untargeted LC–MS/MS Data Analysis
460	LipidOA	Lipidomics		NA	https://pubs.acs.org/doi/10.1021/acs.analchem.2c03505	2022	missing_tool_url	LipidOA: A Machine-Learning and Prior-Knowledge-Based Tool for Structural Annotation of Glycerophospholipids
467	GIF	Annotation	Spectrum prediction	NA	https://arxiv.org/abs/2511.09571	2025	missing_tool_url	General Intelligence-based Fragmentation (GIF): A framework for peak-labeled spectra simulation
487	GCIMS	Ion Mobility MS		https://github.com/sipss/GCIMS	https://www.sciencedirect.com/science/article/pii/S0169743923001880#cebib0010	2023	ion_mobility_platform_dimension	GCIMS: An R package for untargeted gas chromatography – Ion mobility spectrometry data processing
490	CloMet	Formats		https://github.com/rmallol/clomet	https://pubs.acs.org/doi/10.1021/acs.jproteome.2c00602	2023	mixed_nmr_mentions	CloMet: A Novel Open-Source and Modular Software Platform That Connects Established Metabolomics Repositories and Data Analysis Resources
497	DarkNPS	Specialized		https://github.com/skinniderlab/DarkNPS	https://www.nature.com/articles/s42256-021-00407-x	2021	broad_source_bucket_manual_review	A deep generative model enables automated structure elucidation of novel psychoactive substances
